Gap,AddieOutAveRT
50,698.5
60,619.5
70,523.5
80,657.3333333333334
90,567.6666666666666
100,386.0
110,582.6666666666666
120,492.0
130,587.3333333333334
140,475.0
150,632.0
160,410.0
170,478.0
180,697.0
190,509.5
200,680.0
210,592.5
220,545.0
230,516.0
240,550.0
250,490.0
260,452.5
270,670.3333333333334
280,334.0
290,585.0
300,653.5
310,310.0
320,468.3333333333333
330,652.0
340,605.6666666666666
350,511.5
360,799.0
370,539.0
380,646.3333333333334
390,497.1666666666667
400,348.0
410,476.5
420,427.0
430,435.5
440,423.6666666666667
450,515.0
460,588.0
470,732.0
480,599.5
490,453.0
500,426.0
