Gap,LilaOutAveRT
50,492.6666666666667
60,496.6666666666667
70,428.3333333333333
80,449.6666666666667
90,493.0
100,449.5
110,433.6666666666667
120,400.0
130,404.0
140,428.0
150,514.0
160,411.3333333333333
170,591.3333333333334
180,449.0
190,449.5
200,428.3333333333333
210,420.3333333333333
220,554.5
230,544.0833333333333
240,533.6666666666666
250,433.3333333333333
260,566.0
270,594.0
280,521.0
290,446.0
300,320.0
310,492.6666666666667
320,449.3333333333333
330,434.0
340,536.6666666666666
350,422.6666666666667
360,485.0
370,493.3333333333333
380,629.5
390,477.3333333333333
400,436.3333333333333
410,439.3333333333333
420,495.0
430,444.6666666666667
440,423.0
450,510.6666666666667
460,544.0
470,444.3333333333333
480,454.3333333333333
490,467.0
500,456.0
