Gap,SreeOutAveRT
50,604.0
60,596.6666666666666
70,480.6666666666667
80,571.5
90,432.0
100,490.6666666666667
110,613.0
120,461.3333333333333
130,474.3333333333333
140,448.3333333333333
150,548.0
160,425.6666666666667
170,507.6666666666667
180,581.6666666666666
190,539.5
200,470.6666666666667
210,472.0
220,495.0
230,680.3333333333334
240,549.6666666666666
250,465.0
260,465.3333333333333
270,441.6666666666667
280,435.3333333333333
290,531.0
300,538.0
310,481.0
320,539.3333333333334
330,511.0
340,462.6666666666667
350,498.3333333333333
360,510.3333333333333
370,415.0
380,489.5
390,465.6666666666667
400,465.6666666666667
410,534.0
420,499.6666666666667
430,534.3333333333334
440,458.0
450,444.6666666666667
460,441.6666666666667
470,513.6666666666666
480,510.6666666666667
490,603.6666666666666
500,572.6666666666666
