Gap,Tone,tGap,Key,RT
450,1,450,M,479
390,2,390,C,479
170,2,170,C,468
120,1,120,M,474
80,2,80,C,489
460,2,460,C,433
70,1,70,M,474
290,1,290,M,481
410,2,410,C,559
130,2,130,C,533
60,1,60,M,533
400,2,400,C,400
360,2,360,C,545
50,1,50,M,520
400,1,400,M,597
490,2,490,C,479
90,1,90,M,511
220,1,220,M,628
150,2,150,C,485
260,2,260,C,488
190,1,190,M,471
350,1,350,M,546
50,2,50,C,491
220,2,220,C,512
100,2,100,C,453
470,2,470,C,655
430,2,430,C,492
90,2,90,M,1195
190,2,190,M,1061
490,1,490,M,598
150,1,150,M,570
200,1,200,M,580
300,2,300,C,523
270,2,270,C,486
370,2,370,C,437
110,2,110,C,904
380,2,380,C,522
390,1,390,M,422
300,1,300,M,417
310,1,310,M,479
140,2,140,C,477
160,2,160,C,471
230,2,230,C,635
280,1,280,M,672
120,2,120,C,471
110,1,110,M,526
250,2,250,C,456
80,1,80,M,509
60,2,60,C,443
100,1,100,M,486
500,1,500,M,758
200,2,200,C,518
450,2,450,C,481
210,2,210,C,523
180,2,180,C,600
230,1,230,M,527
420,2,420,C,571
420,1,420,M,616
270,1,270,M,806
500,2,500,C,646
320,2,320,C,533
380,1,380,M,429
370,1,370,M,532
330,1,330,M,671
180,1,180,M,536
240,2,240,C,490
260,1,260,M,786
470,1,470,M,726
480,2,480,C,469
140,1,140,M,505
350,2,350,C,417
460,1,460,M,397
170,1,170,M,576
430,1,430,M,573
440,1,440,M,585
480,1,480,M,460
360,1,360,M,546
340,2,340,C,433
280,2,280,C,391
330,2,330,C,439
290,2,290,C,451
70,2,70,C,463
440,2,440,C,440
210,1,210,M,560
250,1,250,C,560
340,1,340,M,590
410,1,410,M,475
130,1,130,M,565
310,2,310,C,456
160,1,160,M,550
320,1,320,M,432
240,1,240,M,540
