Gap,Tone,tGap,Key,RT
470,2,470,C,732
300,1,300,M,658
50,1,50,C,988
180,2,180,C,868
460,1,460,M,849
90,1,90,M,1575
240,2,240,C,794
340,1,340,M,1346
190,1,190,C,1142
80,2,80,C,915
420,2,420,C,1500
270,1,270,M,770
390,1,390,M,687
320,2,320,C,699
400,1,400,M,554
210,1,210,C,638
130,2,130,C,826
150,2,150,C,861
430,2,430,C,1046
210,2,210,C,2733
430,1,430,M,809
180,1,180,M,845
70,1,70,C,845
110,2,110,C,775
490,1,490,M,565
410,1,410,M,696
220,2,220,C,581
480,2,480,C,826
190,2,190,C,1538
70,2,70,M,4245
480,1,480,M,689
50,2,50,C,911
220,1,220,M,639
330,2,330,C,881
380,2,380,C,781
260,1,260,M,1273
280,2,280,C,1657
410,2,410,M,1672
170,2,170,C,1174
130,1,130,C,1306
200,1,200,M,1100
360,2,360,C,799
390,2,390,M,1428
160,2,160,C,2080
350,2,350,M,2475
450,1,450,M,1831
110,1,110,C,1749
470,1,470,C,1829
240,1,240,M,986
270,2,270,C,927
100,2,100,C,1578
100,1,100,M,1157
350,1,350,M,948
260,2,260,M,1701
60,2,60,C,856
230,2,230,C,1275
440,1,440,M,1597
490,2,490,M,2194
420,1,420,M,1019
170,1,170,M,1663
140,2,140,M,1866
290,2,290,C,702
370,1,370,M,1308
120,1,120,C,963
250,2,250,M,1930
450,2,450,M,1408
60,1,60,C,2226
120,2,120,C,1547
230,1,230,M,932
310,1,310,M,791
370,2,370,C,1121
500,1,500,M,876
280,1,280,M,743
200,2,200,C,785
310,2,310,C,1431
340,2,340,C,933
500,2,500,M,1876
320,1,320,M,927
290,1,290,M,1230
400,2,400,C,2044
330,1,330,M,952
160,1,160,C,1255
440,2,440,C,666
380,1,380,M,808
80,1,80,C,851
460,2,460,C,588
140,1,140,M,768
150,1,150,M,1508
250,1,250,M,961
300,2,300,C,837
90,2,90,C,790
360,1,360,M,1576
