Gap,Tone,tGap,Key,RT
310,1,310,M,420
110,1,110,M,521
350,2,350,C,508
220,1,220,M,429
290,2,290,C,386
130,1,130,M,298
500,1,500,M,357
480,1,480,M,355
330,2,330,C,453
410,1,410,M,350
470,2,470,C,423
480,2,480,C,393
500,2,500,C,409
210,1,210,M,384
160,2,160,C,412
90,1,90,C,391
190,2,190,C,335
370,2,370,C,404
270,1,270,M,340
430,1,430,M,298
80,1,80,M,472
310,2,310,C,400
320,2,320,C,422
260,1,260,M,373
430,2,430,C,388
200,1,200,M,352
50,1,50,M,381
170,1,170,M,455
230,1,230,M,334
250,1,250,M,364
420,2,420,C,383
330,1,330,M,360
50,2,50,C,430
220,2,220,C,412
410,2,410,C,359
280,2,280,C,397
180,1,180,M,448
340,2,340,C,421
460,1,460,C,393
150,1,150,M,452
140,1,140,M,380
420,1,420,M,361
270,2,270,C,472
400,2,400,C,377
390,2,390,C,431
90,2,90,C,432
70,1,70,M,369
450,2,450,C,388
160,1,160,M,304
360,1,360,M,400
450,1,450,M,350
490,1,490,M,342
130,2,130,C,395
170,2,170,C,329
440,2,440,C,465
390,1,390,M,287
230,2,230,C,340
490,2,490,C,351
370,1,370,C,356
240,1,240,M,426
110,2,110,C,386
300,1,300,M,363
180,2,180,M,346
440,1,440,M,525
100,1,100,M,360
210,2,210,C,456
140,2,140,C,477
320,1,320,M,398
460,2,460,C,351
470,1,470,M,399
260,2,260,C,397
380,1,380,M,299
240,2,240,C,407
350,1,350,M,347
340,1,340,M,349
100,2,100,C,421
360,2,360,C,420
290,1,290,M,370
400,1,400,M,295
60,2,60,C,402
60,1,60,M,355
280,1,280,M,365
190,1,190,M,292
150,2,150,M,277
200,2,200,C,449
120,2,120,C,493
380,2,380,C,391
250,2,250,C,418
300,2,300,M,275
70,2,70,C,410
80,2,80,C,386
120,1,120,C,366
