Gap,addieCombinedAveRT
50,594.75
60,537.25
70,469.75
80,603.2
90,529.6
100,419.75
110,585.0
120,479.0
130,549.0
140,549.75
150,533.0
160,396.25
170,469.0
180,702.75
190,509.5
200,525.0
210,523.25
220,516.2
230,555.0
240,537.3333333333334
250,620.5
260,470.0
270,651.4
280,473.5
290,585.0
300,604.75
310,448.5
320,565.5
330,611.0
340,537.8
350,605.75
360,591.6666666666666
370,567.0
380,621.8
390,477.0
400,391.25
410,490.6
420,426.25
430,469.8
440,449.0
450,446.0
460,629.6666666666666
470,532.6666666666666
480,595.0
490,466.2
500,542.0
