Gap,AddieInAveRT
50,491.0
60,455.0
70,416.0
80,522.0
90,472.5
100,453.5
110,592.0
120,466.0
130,491.5
140,624.5
150,384.5
160,382.5
170,460.0
180,708.5
190,539.25
200,370.0
210,454.0
220,473.0
230,568.0
240,524.6666666666666
250,664.0
260,487.5
270,623.0
280,520.0
290,538.0
300,556.0
310,587.0
320,662.6666666666666
330,583.6666666666666
340,436.0
350,700.0
360,488.0
370,595.0
380,585.0
390,477.0
400,405.6666666666667
410,500.0
420,425.5
430,492.6666666666667
440,525.0
450,377.0
460,650.5
470,433.0
480,592.0
490,475.0
500,580.6666666666666
