Gap,AddieInAveRT,OutAveRT,CombinedAvgRT
50,491.0,698.5,594.75
60,455.0,619.5,537.25
70,416.0,523.5,469.75
80,522.0,657.3333333333334,589.6666666666667
90,472.5,567.6666666666666,520.0833333333333
100,453.5,386.0,419.75
110,592.0,582.6666666666666,587.3333333333333
120,466.0,492.0,479.0
130,491.5,587.3333333333334,539.4166666666667
140,624.5,475.0,549.75
150,384.5,632.0,508.25
160,382.5,410.0,396.25
170,460.0,478.0,469.0
180,708.5,697.0,702.75
190,539.25,509.5,524.375
200,370.0,680.0,525.0
210,454.0,592.5,523.25
220,473.0,545.0,509.0
230,568.0,516.0,542.0
240,524.6666666666666,550.0,537.3333333333333
250,664.0,490.0,577.0
260,487.5,452.5,470.0
270,623.0,670.3333333333334,646.6666666666667
280,520.0,334.0,427.0
290,538.0,585.0,561.5
300,556.0,653.5,604.75
310,587.0,310.0,448.5
320,662.6666666666666,468.3333333333333,565.5
330,583.6666666666666,652.0,617.8333333333333
340,436.0,605.6666666666666,520.8333333333333
350,700.0,511.5,605.75
360,488.0,799.0,643.5
370,595.0,539.0,567.0
380,585.0,646.3333333333334,615.6666666666667
390,477.0,497.1666666666667,487.08333333333337
400,405.6666666666667,348.0,376.83333333333337
410,500.0,476.5,488.25
420,425.5,427.0,426.25
430,492.6666666666667,435.5,464.08333333333337
440,525.0,423.6666666666667,474.33333333333337
450,377.0,515.0,446.0
460,650.5,588.0,619.25
470,433.0,732.0,582.5
480,592.0,599.5,595.75
490,475.0,453.0,464.0
500,580.6666666666666,426.0,503.3333333333333
