Gap,combinedAveRT
50,583.8
60,719.0
70,777.2
80,630.3333333333334
90,596.25
100,602.75
110,686.0
120,629.1666666666666
130,581.2
140,718.0
150,529.0
160,556.0
170,544.25
180,680.0
190,634.6666666666666
200,423.0
210,709.0
220,586.0
230,535.0
240,590.5
250,624.4
260,514.5
270,640.25
280,496.5
290,656.5
300,580.75
310,611.0
320,766.0
330,663.6666666666666
340,546.0
350,569.0
360,667.75
370,653.25
380,585.3333333333334
390,462.75
400,607.5
410,702.75
420,568.6666666666666
430,503.75
440,504.6666666666667
450,672.0
460,652.75
470,565.25
480,485.5
490,584.2
500,572.0
