Gap,Avg_log10_RT,Smoothed_log10_RT
50,2.7631618229885886,2.76886026981931
60,2.7642598739206488,2.768875607997287
70,2.7808636290422997,2.7685927201910596
80,2.791274422703745,2.7686588662054774
90,2.747130813708258,2.769282339997053
100,2.7394129302819143,2.7693195646064517
110,2.789783295326747,2.767413086566043
120,2.7867940504361264,2.7695520839049657
130,2.7403391874151537,2.770932173932197
140,2.7775087133828666,2.7663177701078374
150,2.7616616018116353,2.7613434738637586
160,2.757855814222949,2.760422390856432
170,2.7429792146038343,2.7589189040695388
180,2.7738414680970895,2.757546267681748
190,2.758773088824251,2.759314461792438
200,2.7446476413162606,2.761053316651569
210,2.777198355991252,2.760069152577073
220,2.7602375918294775,2.7594522107154815
230,2.7580806351980067,2.759735883582335
240,2.7478634703533045,2.7583865442354223
250,2.7701577205874344,2.758732380675254
260,2.7466193254472935,2.760172702483572
270,2.7731459015860844,2.761057752070896
280,2.761745311612002,2.761664095145331
290,2.755870888405267,2.7622262099656236
300,2.7655049384688057,2.760705510908252
310,2.763440018932092,2.7590949490559145
320,2.7554247300539005,2.7590132721284686
330,2.7484364458188533,2.7591529082555524
340,2.7673637532139415,2.760496887734905
350,2.757930384906565,2.762895770861272
360,2.773901977463765,2.764319799588501
370,2.76459882921389,2.7620223225669878
380,2.7644653770602945,2.759778329819526
390,2.7141344216866337,2.7583979969297694
400,2.752006821465252,2.755069018332533
410,2.782032211042071,2.753371012067576
420,2.739708705986666,2.7555575183343
430,2.7476692062990447,2.7559792584471787
440,2.781093578816791,2.757753632228282
450,2.728647666225029,2.7635741297987226
460,2.770142179088422,2.767870919410368
470,2.7847779947794646,2.766451395816858
480,2.7726728499758817,2.7638099860306173
490,2.7631855244286303,2.7606266615456834
500,2.7427729454271117,2.7566071083944967
