Gap,angelynCombinedAveRT
50,437.3333333333333
60,433.5
70,415.8333333333333
80,446.3333333333333
90,378.2
100,410.8333333333333
110,412.1666666666667
120,436.5
130,376.0
140,471.2
150,392.4
160,407.1666666666667
170,399.5
180,461.75
190,355.8333333333333
200,411.1666666666667
210,434.1666666666667
220,405.3333333333333
230,416.0
240,401.5
250,385.5
260,354.5
270,361.0
280,402.4
290,372.6666666666667
300,435.0
310,413.25
320,367.8333333333333
330,396.3333333333333
340,368.0
350,424.1666666666667
360,445.1666666666667
370,410.6
380,414.1666666666667
390,377.8
400,395.2
410,458.0
420,373.5
430,434.0
440,443.6666666666667
450,389.0
460,343.4
470,408.0
480,404.3333333333333
490,397.3333333333333
500,368.4
