Gap,AngelynInAveRT,OutAveRT,CombinedAvgRT
50,408.3333333333333,466.3333333333333,437.3333333333333
60,432.6666666666667,434.3333333333333,433.5
70,375.3333333333333,456.3333333333333,415.8333333333333
80,467.3333333333333,425.3333333333333,446.3333333333333
90,355.0,393.6666666666667,374.33333333333337
100,363.3333333333333,458.3333333333333,410.8333333333333
110,430.3333333333333,394.0,412.16666666666663
120,434.0,439.0,436.5
130,332.0,420.0,376.0
140,383.0,603.5,493.25
150,403.6666666666667,375.5,389.58333333333337
160,392.0,422.3333333333333,407.16666666666663
170,419.3333333333333,379.6666666666667,399.5
180,388.5,535.0,461.75
190,327.0,384.6666666666667,355.83333333333337
200,403.0,419.3333333333333,411.16666666666663
210,453.3333333333333,415.0,434.16666666666663
220,371.6666666666667,439.0,405.33333333333337
230,404.3333333333333,427.6666666666667,416.0
240,381.6666666666667,421.3333333333333,401.5
250,349.3333333333333,421.6666666666667,385.5
260,343.3333333333333,365.6666666666667,354.5
270,307.0,442.0,374.5
280,371.0,423.3333333333333,397.16666666666663
290,353.6666666666667,391.6666666666667,372.6666666666667
300,397.6666666666667,491.0,444.33333333333337
310,375.0,451.5,413.25
320,336.3333333333333,399.3333333333333,367.8333333333333
330,388.3333333333333,404.3333333333333,396.3333333333333
340,328.0,408.0,368.0
350,381.0,467.3333333333333,424.16666666666663
360,462.6666666666667,427.6666666666667,445.1666666666667
370,336.5,460.0,398.25
380,391.6666666666667,436.6666666666667,414.1666666666667
390,315.5,419.3333333333333,367.41666666666663
400,364.0,442.0,403.0
410,488.3333333333333,427.6666666666667,458.0
420,371.3333333333333,375.6666666666667,373.5
430,401.3333333333333,466.6666666666667,434.0
440,457.3333333333333,430.0,443.66666666666663
450,363.6666666666667,414.3333333333333,389.0
460,282.0,384.3333333333333,333.16666666666663
470,385.6666666666667,430.3333333333333,408.0
480,394.3333333333333,414.3333333333333,404.3333333333333
490,370.6666666666667,424.0,397.33333333333337
500,348.0,382.0,365.0
