Gap,angelynInAveRT
50,408.3333333333333
60,432.6666666666667
70,375.3333333333333
80,467.3333333333333
90,355.0
100,363.3333333333333
110,430.3333333333333
120,434.0
130,332.0
140,383.0
150,403.6666666666667
160,392.0
170,419.3333333333333
180,388.5
190,327.0
200,403.0
210,453.3333333333333
220,371.6666666666667
230,404.3333333333333
240,381.6666666666667
250,349.3333333333333
260,343.3333333333333
270,307.0
280,371.0
290,353.6666666666667
300,397.6666666666667
310,375.0
320,336.3333333333333
330,388.3333333333333
340,328.0
350,381.0
360,462.6666666666667
370,336.5
380,391.6666666666667
390,315.5
400,364.0
410,488.3333333333333
420,371.3333333333333
430,401.3333333333333
440,457.3333333333333
450,363.6666666666667
460,282.0
470,385.6666666666667
480,394.3333333333333
490,370.6666666666667
500,348.0
