Gap,OutAveRT
50,466.3333333333333
60,434.3333333333333
70,456.3333333333333
80,425.3333333333333
90,393.6666666666667
100,458.3333333333333
110,394.0
120,439.0
130,420.0
140,603.5
150,375.5
160,422.3333333333333
170,379.6666666666667
180,535.0
190,384.6666666666667
200,419.3333333333333
210,415.0
220,439.0
230,427.6666666666667
240,421.3333333333333
250,421.6666666666667
260,365.6666666666667
270,442.0
280,423.3333333333333
290,391.6666666666667
300,491.0
310,451.5
320,399.3333333333333
330,404.3333333333333
340,408.0
350,467.3333333333333
360,427.6666666666667
370,460.0
380,436.6666666666667
390,419.3333333333333
400,442.0
410,427.6666666666667
420,375.6666666666667
430,466.6666666666667
440,430.0
450,414.3333333333333
460,384.3333333333333
470,430.3333333333333
480,414.3333333333333
490,424.0
500,382.0
