Gap,combinedOutAveRT
50,567.0
60,711.5
70,678.5
80,676.0
90,673.5
100,808.0
110,688.5
120,569.0
130,709.0
140,878.0
150,818.6666666666666
160,759.3333333333334
170,700.0
180,766.5
190,685.0
200,729.5
210,774.0
220,573.5
230,610.0
240,677.0
250,503.3333333333333
260,504.5
270,682.0
280,496.5
290,575.75
300,655.0
310,611.0
320,809.0
330,603.0
340,496.0
350,598.3333333333334
360,631.0
370,736.5
380,691.0
390,482.5
400,482.0
410,643.5
420,563.0
430,614.0
440,463.0
450,714.0
460,519.5
470,531.0
480,475.0
490,519.0
500,577.6666666666666
