Gap,jamshedCombinedAveRT
50,465.5
60,505.8333333333333
70,426.8
80,412.3333333333333
90,430.1666666666667
100,414.5
110,429.6666666666667
120,402.6666666666667
130,420.0
140,432.8
150,390.5
160,380.2
170,419.6
180,378.5
190,442.3333333333333
200,383.1666666666667
210,395.3333333333333
220,410.6
230,368.6
240,411.0
250,403.0
260,415.2
270,393.6666666666667
280,394.6666666666667
290,468.5
300,433.1666666666667
310,454.8
320,405.2
330,404.1666666666667
340,390.0
350,391.5
360,381.0
370,402.3333333333333
380,406.6666666666667
390,423.6666666666667
400,378.0
410,456.6666666666667
420,417.8333333333333
430,370.0
440,415.0
450,430.0
460,389.3333333333333
470,417.0
480,402.0
490,368.8333333333333
500,425.0
