Gap,jamshedInAveRT
50,411.0
60,446.0
70,413.3333333333333
80,392.3333333333333
90,402.0
100,384.3333333333333
110,442.3333333333333
120,376.6666666666667
130,422.6666666666667
140,368.0
150,366.0
160,361.0
170,377.5
180,348.3333333333333
190,396.0
200,355.6666666666667
210,385.6666666666667
220,372.0
230,358.0
240,418.6666666666667
250,383.6666666666667
260,399.5
270,364.3333333333333
280,376.0
290,413.3333333333333
300,470.0
310,417.0
320,402.5
330,416.6666666666667
340,375.0
350,350.3333333333333
360,362.3333333333333
370,387.0
380,394.6666666666667
390,413.3333333333333
400,359.6666666666667
410,441.0
420,430.3333333333333
430,341.6666666666667
440,422.6666666666667
450,371.3333333333333
460,376.0
470,373.0
480,384.3333333333333
490,346.0
500,361.3333333333333
