Gap,jamshedOutAveRT
50,520.0
60,565.6666666666666
70,447.0
80,432.3333333333333
90,458.3333333333333
100,444.6666666666667
110,417.0
120,428.6666666666667
130,417.3333333333333
140,476.0
150,415.0
160,409.0
170,447.6666666666667
180,408.6666666666667
190,488.6666666666667
200,410.6666666666667
210,405.0
220,468.5
230,384.5
240,403.3333333333333
250,422.3333333333333
260,425.6666666666667
270,423.0
280,413.3333333333333
290,523.6666666666666
300,396.3333333333333
310,480.0
320,407.0
330,391.6666666666667
340,405.0
350,432.6666666666667
360,399.6666666666667
370,417.6666666666667
380,418.6666666666667
390,434.0
400,396.3333333333333
410,472.3333333333333
420,405.3333333333333
430,398.3333333333333
440,407.3333333333333
450,488.6666666666667
460,402.6666666666667
470,461.0
480,419.6666666666667
490,391.6666666666667
500,488.6666666666667
