Gap,jillCombinedAveRT
50.0,646.0
60.0,606.5
70.0,654.0
80.0,727.0
90.0,642.0
100.0,757.0
110.0,655.5
120.0,728.5
130.0,623.0
140.0,686.0
150.0,705.0
160.0,688.0
170.0,667.5
180.0,768.0
190.0,633.0
200.0,667.5
210.0,794.0
220.0,643.5
230.0,685.0
240.0,686.0
250.0,669.0
260.0,636.5
270.0,583.0
280.0,726.5
290.0,711.0
300.0,670.5
310.0,606.0
320.0,675.0
330.0,688.0
340.0,782.5
350.0,666.5
360.0,740.5
370.0,696.0
380.0,768.0
390.0,699.0
400.0,686.0
410.0,735.0
420.0,598.0
430.0,710.0
440.0,693.0
450.0,721.0
460.0,733.5
470.0,683.5
480.0,716.0
490.0,762.5
500.0,631.0
