Gap,jillInAveRT
50.0,678.0
60.0,610.0
80.0,727.0
90.0,642.0
100.0,737.0
110.0,647.0
120.0,727.0
130.0,623.0
140.0,686.0
150.0,688.0
160.0,688.0
170.0,653.0
180.0,604.0
190.0,633.0
200.0,626.0
210.0,794.0
220.0,622.0
230.0,685.0
240.0,606.0
250.0,664.0
260.0,628.0
270.0,583.0
280.0,760.0
290.0,732.0
300.0,615.0
310.0,606.0
320.0,675.0
330.0,688.0
340.0,855.0
350.0,613.0
360.0,723.0
370.0,670.0
380.0,824.0
390.0,644.0
400.0,650.0
410.0,784.0
430.0,660.0
440.0,627.0
450.0,745.0
460.0,717.0
470.0,647.0
480.0,754.0
490.0,620.0
500.0,631.0
