Gap,lilaCombinedAveRT
50,448.6666666666667
60,508.8333333333333
70,476.1666666666667
80,479.6
90,424.0
100,439.0
110,459.3333333333333
120,405.6
130,412.4
140,413.4
150,498.3333333333333
160,413.0
170,514.6666666666666
180,483.6666666666667
190,470.0
200,488.0
210,456.0
220,501.8
230,447.0
240,457.1666666666667
250,400.3333333333333
260,499.4
270,535.4
280,460.8
290,424.6666666666667
300,375.25
310,452.4
320,420.3333333333333
330,450.8
340,459.8333333333333
350,438.0
360,526.2
370,468.5
380,505.8
390,439.0
400,444.3333333333333
410,439.6666666666667
420,446.6666666666667
430,438.8
440,406.6666666666667
450,433.6666666666667
460,486.0
470,485.3333333333333
480,455.3333333333333
490,451.0
500,411.1666666666667
