Gap,LilaInAveRT,OutAveRT,CombinedAvgRT
50,404.6666666666667,492.6666666666667,448.6666666666667
60,521.0,496.6666666666667,508.83333333333337
70,524.0,428.3333333333333,476.16666666666663
80,524.5,449.6666666666667,487.08333333333337
90,378.0,493.0,435.5
100,432.0,449.5,440.75
110,485.0,433.6666666666667,459.33333333333337
120,409.3333333333333,400.0,404.66666666666663
130,418.0,404.0,411.0
140,391.5,428.0,409.75
150,482.6666666666667,514.0,498.33333333333337
160,414.6666666666667,411.3333333333333,413.0
170,438.0,591.3333333333334,514.6666666666667
180,518.3333333333334,449.0,483.6666666666667
190,490.5,449.5,470.0
200,547.6666666666666,428.3333333333333,488.0
210,491.6666666666667,420.3333333333333,456.0
220,466.6666666666667,554.5,510.58333333333337
230,447.0,544.0833333333333,495.54166666666663
240,380.6666666666667,533.6666666666666,457.16666666666663
250,367.3333333333333,433.3333333333333,400.3333333333333
260,399.5,566.0,482.75
270,496.3333333333333,594.0,545.1666666666666
280,420.6666666666667,521.0,470.83333333333337
290,403.3333333333333,446.0,424.66666666666663
300,393.6666666666667,320.0,356.83333333333337
310,392.0,492.6666666666667,442.33333333333337
320,391.3333333333333,449.3333333333333,420.3333333333333
330,462.0,434.0,448.0
340,383.0,536.6666666666666,459.8333333333333
350,453.3333333333333,422.6666666666667,438.0
360,553.6666666666666,485.0,519.3333333333333
370,443.6666666666667,493.3333333333333,468.5
380,423.3333333333333,629.5,526.4166666666666
390,400.6666666666667,477.3333333333333,439.0
400,452.3333333333333,436.3333333333333,444.3333333333333
410,440.0,439.3333333333333,439.66666666666663
420,350.0,495.0,422.5
430,430.0,444.6666666666667,437.33333333333337
440,390.3333333333333,423.0,406.66666666666663
450,356.6666666666667,510.6666666666667,433.6666666666667
460,447.3333333333333,544.0,495.66666666666663
470,526.3333333333334,444.3333333333333,485.33333333333337
480,456.3333333333333,454.3333333333333,455.3333333333333
490,443.0,467.0,455.0
500,366.3333333333333,456.0,411.16666666666663
