Gap,lilaInAveRT
50,404.6666666666667
60,521.0
70,524.0
80,524.5
90,378.0
100,432.0
110,485.0
120,409.3333333333333
130,418.0
140,391.5
150,482.6666666666667
160,414.6666666666667
170,438.0
180,518.3333333333334
190,490.5
200,547.6666666666666
210,491.6666666666667
220,466.6666666666667
230,447.0
240,380.6666666666667
250,367.3333333333333
260,399.5
270,496.3333333333333
280,420.6666666666667
290,403.3333333333333
300,393.6666666666667
310,392.0
320,391.3333333333333
330,462.0
340,383.0
350,453.3333333333333
360,553.6666666666666
370,443.6666666666667
380,423.3333333333333
390,400.6666666666667
400,452.3333333333333
410,440.0
420,350.0
430,430.0
440,390.3333333333333
450,356.6666666666667
460,447.3333333333333
470,526.3333333333334
480,456.3333333333333
490,443.0
500,366.3333333333333
