Gap,mahalakshmiCombinedAveRT
50,746.0
60,620.1666666666666
70,761.6
80,693.6
90,613.4
100,559.2
110,698.25
120,638.75
130,634.5
140,662.8
150,740.6666666666666
160,711.2
170,659.4
180,740.8333333333334
190,770.1666666666666
200,737.8333333333334
210,658.0
220,638.8
230,658.8
240,737.0
250,589.0
260,587.25
270,726.8
280,649.25
290,697.0
300,721.25
310,707.0
320,624.25
330,614.4
340,753.8
350,577.0
360,629.25
370,621.0
380,649.75
390,556.75
400,550.5
410,617.75
420,639.25
430,621.0
440,660.5
450,586.25
460,597.75
470,638.5
480,606.0
490,609.75
500,674.6
