Gap,MahalakshmiInAveRT
50,774.0
60,542.3333333333334
70,729.0
80,770.0
90,612.5
100,536.5
110,653.0
120,672.5
130,575.0
140,657.6666666666666
150,813.0
160,731.0
170,666.0
180,741.6666666666666
190,732.0
200,662.3333333333334
210,594.5
220,673.6666666666666
230,641.0
240,653.0
250,638.3333333333334
260,514.0
270,638.5
280,562.0
290,712.0
300,825.0
310,670.0
320,614.5
330,492.0
340,696.0
350,575.0
360,522.0
370,660.0
380,694.6666666666666
390,555.0
400,570.0
410,598.0
420,537.5
430,654.0
440,687.3333333333334
450,622.0
460,477.0
470,591.6666666666666
480,647.0
490,708.5
500,623.5
