Gap,MahalakshmiInAveRT,OutAveRT,CombinedAvgRT
50,774.0,718.0,746.0
60,542.3333333333334,698.0,620.1666666666667
70,729.0,783.3333333333334,756.1666666666667
80,770.0,579.0,674.5
90,612.5,614.0,613.25
100,536.5,574.3333333333334,555.4166666666667
110,653.0,743.5,698.25
120,672.5,605.0,638.75
130,575.0,694.0,634.5
140,657.6666666666666,670.5,664.0833333333333
150,813.0,668.3333333333334,740.6666666666667
160,731.0,681.5,706.25
170,666.0,655.0,660.5
180,741.6666666666666,740.0,740.8333333333333
190,732.0,808.3333333333334,770.1666666666667
200,662.3333333333334,813.3333333333334,737.8333333333334
210,594.5,721.5,658.0
220,673.6666666666666,586.5,630.0833333333333
230,641.0,670.6666666666666,655.8333333333333
240,653.0,905.0,779.0
250,638.3333333333334,515.0,576.6666666666667
260,514.0,660.5,587.25
270,638.5,785.6666666666666,712.0833333333333
280,562.0,678.3333333333334,620.1666666666667
290,712.0,674.5,693.25
300,825.0,686.6666666666666,755.8333333333333
310,670.0,744.0,707.0
320,614.5,634.0,624.25
330,492.0,696.0,594.0
340,696.0,840.5,768.25
350,575.0,578.3333333333334,576.6666666666667
360,522.0,665.0,593.5
370,660.0,582.0,621.0
380,694.6666666666666,515.0,604.8333333333333
390,555.0,558.5,556.75
400,570.0,492.0,531.0
410,598.0,637.5,617.75
420,537.5,741.0,639.25
430,654.0,571.5,612.75
440,687.3333333333334,633.6666666666666,660.5
450,622.0,550.5,586.25
460,477.0,718.5,597.75
470,591.6666666666666,685.3333333333334,638.5
480,647.0,565.0,606.0
490,708.5,511.0,609.75
500,623.5,708.6666666666666,666.0833333333333
