Gap,mahalakshmiOutAveRT
50,718.0
60,698.0
70,783.3333333333334
80,579.0
90,614.0
100,574.3333333333334
110,743.5
120,605.0
130,694.0
140,670.5
150,668.3333333333334
160,681.5
170,655.0
180,740.0
190,808.3333333333334
200,813.3333333333334
210,721.5
220,586.5
230,670.6666666666666
240,905.0
250,515.0
260,660.5
270,785.6666666666666
280,678.3333333333334
290,674.5
300,686.6666666666666
310,744.0
320,634.0
330,696.0
340,840.5
350,578.3333333333334
360,665.0
370,582.0
380,515.0
390,558.5
400,492.0
410,637.5
420,741.0
430,571.5
440,633.6666666666666
450,550.5
460,718.5
470,685.3333333333334
480,565.0
490,511.0
500,708.6666666666666
