Gap,manaswiniCombinedAveRT
50,793.0
60,952.6666666666666
70,998.5
80,905.0
90,996.0
100,974.3333333333333
110,952.6666666666666
120,913.5
130,932.25
140,951.0
150,932.0
160,861.0
170,814.0
180,847.3333333333334
190,838.0
200,866.6666666666666
210,895.3333333333334
220,924.0
230,883.0
240,855.5
250,858.0
260,920.0
270,882.75
280,865.5
290,830.0
300,837.5
310,845.0
320,871.0
330,902.5
340,991.0
350,856.0
360,892.5
370,929.0
380,881.0
390,839.0
400,857.75
410,886.6666666666666
420,793.0
430,862.5
440,964.5
450,915.0
460,863.0
470,921.6666666666666
480,934.0
490,882.6666666666666
500,857.6666666666666
