Gap,manaswiniInAveRT
50,793.0
60,952.6666666666666
70,998.5
80,905.0
90,996.0
100,964.25
110,932.5
120,870.5
130,910.75
140,951.0
150,905.3333333333334
160,859.6666666666666
170,814.0
180,889.0
190,838.0
200,866.6666666666666
210,895.3333333333334
220,924.0
230,805.0
240,852.0
250,899.0
260,920.0
270,907.5
280,875.0
290,875.0
300,875.0
310,875.0
320,875.0
330,875.0
340,991.0
350,836.0
360,843.4
370,850.8
380,858.2
390,865.6
400,873.0
410,916.0
420,878.5
430,841.0
440,929.0
450,926.0
460,915.0
470,904.0
480,961.0
490,876.0
500,930.0
