Gap,manaswiniOutAveRT
50,993.0
60,993.0
70,993.0
80,993.0
90,993.0
100,993.0
110,993.0
120,956.5
130,948.3333333333334
140,940.1666666666666
150,932.0
160,861.0
170,843.75
180,826.5
190,845.6
200,864.7
210,883.8
220,902.9
230,922.0
240,855.5
250,776.0
260,817.0
270,858.0
280,856.0
290,830.0
300,837.5
310,845.0
320,871.0
330,930.0
340,903.0
350,876.0
360,902.5
370,929.0
380,881.0
390,839.0
400,842.5
410,828.0
420,793.0
430,884.0
440,1000.0
450,909.5
460,863.0
470,930.5
480,920.5
490,886.0
500,821.5
