Gap,NavyaInAveRT,OutAveRT,CombinedAvgRT
50,595.0,567.0,581.0
60,724.0,711.5,717.75
70,843.0,678.5,760.75
80,630.3333333333334,676.0,653.1666666666667
90,519.0,673.5,596.25
100,534.3333333333334,808.0,671.1666666666667
110,686.0,688.5,687.25
120,689.3333333333334,569.0,629.1666666666667
130,496.0,709.0,602.5
140,558.0,878.0,718.0
150,529.0,818.6666666666666,673.8333333333333
160,556.0,759.3333333333334,657.6666666666667
170,492.3333333333333,700.0,596.1666666666666
180,507.0,766.5,636.75
190,609.5,685.0,647.25
200,423.0,729.5,576.25
210,676.5,774.0,725.25
220,598.5,573.5,586.0
230,497.5,610.0,553.75
240,561.6666666666666,677.0,619.3333333333333
250,806.0,503.3333333333333,654.6666666666666
260,524.5,504.5,514.5
270,598.5,682.0,640.25
280,627.5,496.5,562.0
290,656.5,575.75,616.125
300,506.5,655.0,580.75
310,614.75,611.0,612.875
320,723.0,809.0,766.0
330,694.0,603.0,648.5
340,571.0,496.0,533.5
350,481.0,598.3333333333334,539.6666666666667
360,704.5,631.0,667.75
370,570.0,736.5,653.25
380,532.5,691.0,611.75
390,443.0,482.5,462.75
400,649.3333333333334,482.0,565.6666666666667
410,762.0,643.5,702.75
420,580.0,563.0,571.5
430,467.0,614.0,540.5
440,525.5,463.0,494.25
450,588.0,714.0,651.0
460,786.0,519.5,652.75
470,668.0,531.0,599.5
480,496.0,475.0,485.5
490,627.6666666666666,519.0,573.3333333333333
500,555.0,577.6666666666666,566.3333333333333
