Gap,navyaInAveRT
50,595.0
60,724.0
70,843.0
80,630.3333333333334
90,519.0
100,534.3333333333334
110,686.0
120,689.3333333333334
130,496.0
140,558.0
150,529.0
160,556.0
170,492.3333333333333
180,507.0
190,609.5
200,423.0
210,676.5
220,598.5
230,497.5
240,561.6666666666666
250,806.0
260,524.5
270,598.5
290,656.5
300,506.5
320,723.0
330,694.0
340,571.0
350,481.0
360,704.5
370,570.0
380,532.5
390,443.0
400,649.3333333333334
410,762.0
420,580.0
430,467.0
440,525.5
450,588.0
460,786.0
470,668.0
480,496.0
490,627.6666666666666
500,555.0
