Gap,richardCombinedAveRT
50,558.8
60,552.0
70,566.8
80,527.5
90,569.5
100,528.6
110,502.4
120,563.3333333333334
130,549.3333333333334
140,545.3333333333334
150,619.6
160,531.8333333333334
170,522.6666666666666
180,598.4
190,540.6
200,524.0
210,494.0
220,525.6666666666666
230,498.0
240,521.5
250,494.75
260,531.0
270,569.5
280,555.0
290,526.6666666666666
300,475.0
310,512.1666666666666
320,521.1666666666666
330,500.0
340,459.5
350,502.4
360,597.5
370,522.0
380,511.6666666666667
390,487.4
400,567.2
410,483.0
420,564.0
430,579.0
440,667.6666666666666
450,504.0
460,680.0
470,613.25
480,565.6666666666666
490,585.0
500,540.4
