Gap,RichardInAveRT
50,521.0
60,490.0
70,522.0
80,481.3333333333333
90,559.0
100,464.0
110,493.0
120,547.6666666666666
130,515.6666666666666
140,539.3333333333334
150,612.0
160,489.0
170,522.6666666666666
180,535.0
190,511.0
200,526.3333333333334
210,540.6666666666666
220,518.6666666666666
230,473.3333333333333
240,494.3333333333333
250,493.3333333333333
260,524.6666666666666
270,512.3333333333334
280,502.3333333333333
290,480.0
300,485.3333333333333
310,508.0
320,521.0
330,427.0
340,454.5
350,492.6666666666667
360,535.0
370,523.3333333333334
380,521.6666666666666
390,472.0
400,507.3333333333333
410,510.5
420,499.0
430,656.6666666666666
440,724.3333333333334
450,481.0
460,750.6666666666666
470,669.0
480,584.3333333333334
490,557.6666666666666
500,419.0
