Gap,RichardInAveRT,OutAveRT,CombinedAvgRT
50,521.0,615.5,568.25
60,490.0,593.3333333333334,541.6666666666667
70,522.0,634.0,578.0
80,481.3333333333333,573.6666666666666,527.5
90,559.0,580.0,569.5
100,464.0,571.6666666666666,517.8333333333333
110,493.0,516.5,504.75
120,547.6666666666666,579.0,563.3333333333333
130,515.6666666666666,583.0,549.3333333333333
140,539.3333333333334,551.3333333333334,545.3333333333334
150,612.0,631.0,621.5
160,489.0,574.6666666666666,531.8333333333333
170,522.6666666666666,634.0833333333333,578.375
180,535.0,693.5,614.25
190,511.0,585.0,548.0
200,526.3333333333334,520.5,523.4166666666667
210,540.6666666666666,424.0,482.3333333333333
220,518.6666666666666,532.6666666666666,525.6666666666666
230,473.3333333333333,535.0,504.16666666666663
240,494.3333333333333,548.6666666666666,521.5
250,493.3333333333333,499.0,496.16666666666663
260,524.6666666666666,537.3333333333334,531.0
270,512.3333333333334,626.6666666666666,569.5
280,502.3333333333333,607.6666666666666,555.0
290,480.0,573.3333333333334,526.6666666666667
300,485.3333333333333,459.5,472.41666666666663
310,508.0,516.3333333333334,512.1666666666667
320,521.0,521.3333333333334,521.1666666666667
330,427.0,573.0,500.0
340,454.5,464.5,459.5
350,492.6666666666667,517.0,504.83333333333337
360,535.0,660.0,597.5
370,523.3333333333334,520.6666666666666,522.0
380,521.6666666666666,501.6666666666667,511.66666666666663
390,472.0,497.6666666666667,484.83333333333337
400,507.3333333333333,657.0,582.1666666666666
410,510.5,455.5,483.0
420,499.0,629.0,564.0
430,656.6666666666666,501.3333333333333,579.0
440,724.3333333333334,611.0,667.6666666666667
450,481.0,519.3333333333334,500.1666666666667
460,750.6666666666666,574.0,662.3333333333333
470,669.0,557.5,613.25
480,584.3333333333334,547.0,565.6666666666667
490,557.6666666666666,612.3333333333334,585.0
500,419.0,621.3333333333334,520.1666666666667
