Gap,richardOutAveRT
50,615.5
60,593.3333333333334
70,634.0
80,573.6666666666666
90,580.0
100,571.6666666666666
110,516.5
120,579.0
130,583.0
140,551.3333333333334
150,631.0
160,574.6666666666666
180,693.5
190,585.0
200,520.5
210,424.0
220,532.6666666666666
230,535.0
240,548.6666666666666
250,499.0
260,537.3333333333334
270,626.6666666666666
280,607.6666666666666
290,573.3333333333334
300,459.5
310,516.3333333333334
320,521.3333333333334
330,573.0
340,464.5
350,517.0
360,660.0
370,520.6666666666666
380,501.6666666666667
390,497.6666666666667
400,657.0
410,455.5
420,629.0
430,501.3333333333333
440,611.0
450,519.3333333333334
460,574.0
470,557.5
480,547.0
490,612.3333333333334
500,621.3333333333334
