Gap,sreeCombinedAveRT
50,569.5
60,567.5
70,519.5
80,534.8
90,497.6
100,470.0
110,617.2
120,529.6
130,522.8333333333334
140,487.6666666666667
150,525.3333333333334
160,515.5
170,513.3333333333334
180,528.0
190,490.25
200,503.3333333333333
210,484.8
220,541.8
230,622.8333333333334
240,573.8333333333334
250,479.5
260,542.6
270,531.8333333333334
280,474.1666666666667
290,483.1666666666667
300,568.3333333333334
310,517.6666666666666
320,501.1666666666667
330,501.4
340,560.0
350,540.8333333333334
360,521.8333333333334
370,466.0
380,511.0
390,478.8333333333333
400,513.5
410,504.6
420,550.6666666666666
430,548.0
440,534.8
450,452.1666666666667
460,486.0
470,566.0
480,491.8333333333333
490,575.3333333333334
500,586.3333333333334
