Gap,SreeInAveRT,OutAveRT,CombinedAvgRT
50,535.0,604.0,569.5
60,538.3333333333334,596.6666666666666,567.5
70,558.3333333333334,480.6666666666667,519.5
80,510.3333333333333,571.5,540.9166666666666
90,541.3333333333334,432.0,486.6666666666667
100,449.3333333333333,490.6666666666667,470.0
110,623.5,613.0,618.25
120,632.0,461.3333333333333,546.6666666666666
130,571.3333333333334,474.3333333333333,522.8333333333334
140,527.0,448.3333333333333,487.66666666666663
150,502.6666666666667,548.0,525.3333333333334
160,605.3333333333334,425.6666666666667,515.5
170,519.0,507.6666666666667,513.3333333333334
180,474.3333333333333,581.6666666666666,528.0
190,441.0,539.5,490.25
200,536.0,470.6666666666667,503.33333333333337
210,504.0,472.0,488.0
220,573.0,495.0,534.0
230,565.3333333333334,680.3333333333334,622.8333333333334
240,598.0,549.6666666666666,573.8333333333333
250,523.0,465.0,494.0
260,658.5,465.3333333333333,561.9166666666666
270,622.0,441.6666666666667,531.8333333333334
280,513.0,435.3333333333333,474.16666666666663
290,435.3333333333333,531.0,483.16666666666663
300,598.6666666666666,538.0,568.3333333333333
310,554.3333333333334,481.0,517.6666666666667
320,463.0,539.3333333333334,501.1666666666667
330,495.0,511.0,503.0
340,657.3333333333334,462.6666666666667,560.0
350,583.3333333333334,498.3333333333333,540.8333333333334
360,533.3333333333334,510.3333333333333,521.8333333333334
370,542.5,415.0,478.75
380,532.5,489.5,511.0
390,492.0,465.6666666666667,478.83333333333337
400,561.3333333333334,465.6666666666667,513.5
410,460.5,534.0,497.25
420,601.6666666666666,499.6666666666667,550.6666666666666
430,568.5,534.3333333333334,551.4166666666667
440,650.0,458.0,554.0
450,459.6666666666667,444.6666666666667,452.1666666666667
460,552.5,441.6666666666667,497.08333333333337
470,618.3333333333334,513.6666666666666,566.0
480,473.0,510.6666666666667,491.83333333333337
490,547.0,603.6666666666666,575.3333333333333
500,600.0,572.6666666666666,586.3333333333333
