Gap,sreeInAveRT
50,535.0
60,538.3333333333334
70,558.3333333333334
80,510.3333333333333
90,541.3333333333334
100,449.3333333333333
110,623.5
120,632.0
130,571.3333333333334
140,527.0
150,502.6666666666667
160,605.3333333333334
170,519.0
180,474.3333333333333
190,441.0
200,536.0
210,504.0
220,573.0
230,565.3333333333334
240,598.0
250,523.0
260,658.5
270,622.0
280,513.0
290,435.3333333333333
300,598.6666666666666
310,554.3333333333334
320,463.0
330,495.0
340,657.3333333333334
350,583.3333333333334
360,533.3333333333334
370,542.5
380,532.5
390,492.0
400,561.3333333333334
410,460.5
420,601.6666666666666
430,568.5
440,650.0
450,459.6666666666667
460,552.5
470,618.3333333333334
480,473.0
490,547.0
500,600.0
