Gap,vidhyaCombinedAveRT
50,782.0
60,603.3333333333334
70,631.6666666666666
80,652.75
90,720.8333333333334
100,744.8333333333334
110,791.6
120,877.6
130,723.0
140,644.6666666666666
150,647.8
160,743.6
170,708.0
180,728.0
190,788.0
200,752.1666666666666
210,702.6
220,679.2
230,812.2
240,713.25
250,670.2
260,653.0
270,784.0
280,672.25
290,691.0
300,838.6
310,754.6
320,693.0
330,764.4
340,733.3333333333334
350,652.0
360,732.4
370,727.8
380,665.3333333333334
390,679.2
400,782.2
410,652.6666666666666
420,718.6
430,610.3333333333334
440,734.6
450,746.0
460,593.1666666666666
470,813.25
480,797.25
490,747.25
500,630.0
