Gap,vidhyaInAveRT
50,764.6666666666666
60,711.3333333333333
70,658.0
80,815.0
90,759.0
100,819.6666666666666
110,770.0
120,877.6666666666666
130,778.5
140,935.0
150,670.0
160,856.5
170,673.5
180,749.0
190,839.0
200,798.3333333333334
210,750.3333333333334
220,708.5
230,788.5
240,705.5
250,745.0
260,813.0
270,881.0
280,845.0
290,754.0
300,794.6666666666666
310,812.0
320,649.0
330,670.5
340,856.0
350,770.75
360,685.5
370,818.3333333333334
380,626.0
390,721.5
400,829.0
410,800.0
420,760.0
430,557.0
440,697.0
450,709.0
460,600.6666666666666
470,838.0
480,778.5
490,745.5
500,708.5
