Gap,vidhyaOutAveRT
50,808.0
60,603.3333333333334
70,618.5
80,598.6666666666666
90,682.6666666666666
100,670.0
110,806.0
120,877.5
130,612.0
140,499.5
150,614.5
160,668.3333333333334
170,731.0
180,714.0
190,635.0
200,706.0
210,631.0
220,659.6666666666666
230,828.0
240,721.0
250,620.3333333333334
260,653.0
270,687.0
280,614.6666666666666
290,670.0
300,904.5
310,668.5
320,707.6666666666666
330,827.0
340,610.6666666666666
350,652.0
360,763.6666666666666
370,592.0
380,704.6666666666666
390,651.0
400,751.0
410,579.0
420,656.5
430,637.0
440,759.6666666666666
450,783.0
460,585.6666666666666
470,788.5
480,816.0
490,749.0
500,577.6666666666666
