Gap,Tone,tGap,Key,RT
220,1,220,M,134038
450,1,450,M,926
300,1,300,C,910
250,1,250,C,1164
120,1,120,M,834
190,1,190,C,831
450,2,450,C,843
340,1,340,C,868
80,2,80,M,864
500,1,500,M,930
460,1,460,C,864
200,2,200,M,8
440,1,440,M,1156
210,1,210,C,969
270,1,270,M,869
410,2,410,M,1237
150,1,150,C,1001
290,2,290,C,830
470,2,470,M,1019
90,2,90,M,1617
100,1,100,M,1294
500,2,500,C,831
80,1,80,M,1243
390,1,390,C,1162
490,1,490,C,855
290,1,290,C,920
190,2,190,C,1047
440,2,440,C,1000
360,1,360,C,892
470,1,470,M,904
140,1,140,M,951
370,2,370,M,1439
330,2,330,M,1763
130,2,130,C,2264
420,2,420,C,793
320,1,320,C,897
140,2,140,M,880
480,2,480,M,2667
310,1,310,C,1609
60,2,60,M,1280
430,1,430,C,2456
370,1,370,C,881
300,2,300,C,1618
200,1,200,M,1052
90,1,90,M,1056
100,2,100,M,1241
410,1,410,M,1491
120,2,120,C,923
250,2,250,C,776
60,1,60,M,977
400,2,400,C,855
150,2,150,M,918
260,1,260,C,2911
480,1,480,M,1144
110,1,110,M,947
330,1,330,M,875
310,2,310,M,1503
320,2,320,C,937
350,2,350,C,876
70,1,70,M,1149
460,2,460,M,1241
260,2,260,M,1272
160,2,160,M,1170
240,2,240,C,908
170,2,170,C,1616
70,2,70,M,1017
230,2,230,M,1014
210,2,210,M,1610
180,1,180,M,1122
240,1,240,C,1954
420,1,420,M,1108
230,1,230,M,1786
280,1,280,M,2048
380,1,380,C,985
130,1,130,M,1087
110,2,110,C,993
490,2,490,C,984
360,2,360,M,1260
400,1,400,M,808
340,2,340,C,1280
430,2,430,M,1033
50,2,50,M,1055
390,2,390,M,1115
50,1,50,M,1075
350,1,350,M,1149
270,2,270,C,866
380,2,380,C,896
220,2,220,C,1650
280,2,280,C,2294
170,1,170,M,814
180,2,180,C,1397
160,1,160,M,1193
