Gap,Tone,tGap,Key,RT
440,1,440,M,523
280,1,280,M,1251
340,2,340,C,1440
240,1,240,M,642
220,1,220,M,688
280,2,280,C,456
360,2,360,C,622
360,1,360,M,709
500,1,500,M,1074
430,2,430,M,945
330,1,330,M,678
220,2,220,C,558
460,1,460,C,500
290,1,290,M,620
180,2,180,C,719
170,2,170,M,523
60,1,60,M,794
190,2,190,M,1066
350,1,350,C,450
450,1,450,C,544
310,2,310,M,440
130,2,130,C,680
190,1,190,M,1024
240,2,240,M,557
480,1,480,M,6
310,1,310,C,190
200,2,200,M,195
390,2,390,M,270
200,1,200,C,367
500,2,500,C,671
370,1,370,C,631
120,2,120,C,729
270,1,270,M,481
160,1,160,M,425
430,1,430,M,386
110,1,110,C,433
80,2,80,M,823
470,2,470,C,565
440,2,440,M,452
100,1,100,M,511
230,1,230,M,499
260,2,260,C,326
480,2,480,M,124
90,1,90,C,551
130,1,130,M,470
270,2,270,C,716
300,1,300,C,438
150,1,150,M,428
400,2,400,M,415
180,1,180,C,722
170,1,170,M,320
100,2,100,M,397
80,1,80,M,786
290,2,290,M,354
250,2,250,C,411
470,1,470,C,728
390,1,390,C,496
260,1,260,M,510
250,1,250,M,889
370,2,370,M,655
410,1,410,M,860
210,2,210,C,774
460,2,460,C,468
90,2,90,M,1448
400,1,400,M,972
350,2,350,C,459
50,1,50,M,830
300,2,300,C,1949
380,2,380,M,1946
330,2,330,C,1615
150,2,150,C,1260
120,1,120,M,932
70,1,70,M,850
70,2,70,M,890
160,2,160,M,1201
450,2,450,C,2127
320,1,320,M,821
140,1,140,C,524
60,2,60,C,785
140,2,140,M,451
110,2,110,M,934
50,2,50,C,433
320,2,320,C,902
340,1,340,C,667
380,1,380,M,610
420,2,420,M,552
230,2,230,C,610
410,2,410,M,1303
490,2,490,C,460
210,1,210,M,989
490,1,490,M,742
420,1,420,C,731
