Gap,Tone,tGap,Key,RT
380,1,380,M,362
460,1,460,M,452
500,1,500,M,447
410,2,410,C,553
150,1,150,M,401
350,1,350,C,273
130,1,130,M,519
180,2,180,C,526
220,1,220,M,307
360,1,360,M,550
410,1,410,M,446
190,2,190,C,441
70,1,70,M,406
160,2,160,C,342
280,1,280,M,338
460,2,460,M,395
270,2,270,C,573
310,1,310,M,383
260,1,260,M,498
420,1,420,M,351
50,2,50,C,486
220,2,220,C,517
470,2,470,M,273
70,2,70,C,554
440,1,440,C,307
290,2,290,C,477
150,2,150,C,589
490,2,490,C,487
140,2,140,C,467
120,1,120,M,461
330,2,330,C,423
390,2,390,M,384
440,2,440,C,251
110,2,110,C,522
230,2,230,C,516
390,1,390,M,383
310,2,310,C,279
430,2,430,C,381
290,1,290,C,403
340,2,340,C,589
350,2,350,C,450
90,2,90,C,477
280,2,280,C,334
80,1,80,M,502
370,2,370,C,539
200,1,200,M,357
100,2,100,C,431
490,1,490,M,314
120,2,120,C,426
130,2,130,C,475
450,1,450,C,369
420,2,420,C,437
100,1,100,M,414
320,2,320,C,294
230,1,230,M,349
90,1,90,M,483
180,1,180,C,401
60,2,60,M,555
80,2,80,C,575
60,1,60,M,422
380,2,380,C,692
170,1,170,M,420
430,1,430,M,360
190,1,190,C,434
50,1,50,M,554
400,2,400,C,348
330,1,330,M,480
200,2,200,C,575
480,2,480,M,264
250,2,250,M,405
110,1,110,M,592
260,2,260,C,483
450,2,450,M,329
500,2,500,C,426
240,1,240,M,263
470,1,470,M,458
250,1,250,M,596
300,2,300,M,512
160,1,160,M,383
270,1,270,C,380
480,1,480,M,644
210,2,210,C,739
140,1,140,M,481
240,2,240,C,449
370,1,370,C,419
340,1,340,M,409
170,2,170,C,395
400,1,400,M,341
300,1,300,C,280
210,1,210,M,487
320,1,320,M,545
360,2,360,M,429
