Gap,Tone,tGap,Key,RT
420,1,420,M,513
210,2,210,C,391
280,2,280,C,402
270,2,270,C,375
360,1,360,M,379
330,1,330,M,443
310,1,310,M,424
200,2,200,C,406
420,2,420,C,467
290,1,290,M,306
250,2,250,C,468
150,2,150,C,413
490,1,490,M,309
220,1,220,M,368
390,2,390,C,387
70,1,70,M,387
240,1,240,M,412
320,1,320,M,399
450,2,450,C,415
450,1,450,M,370
120,1,120,M,338
200,1,200,M,329
470,1,470,M,384
380,1,380,M,461
490,2,490,C,353
390,1,390,M,481
310,2,310,C,650
380,2,380,C,451
280,1,280,M,335
230,2,230,C,383
270,1,270,M,319
130,1,130,M,445
400,2,400,C,369
70,2,70,M,428
480,2,480,C,416
100,2,100,C,488
300,1,300,M,587
430,2,430,C,423
300,2,300,C,384
140,1,140,M,372
160,1,160,M,398
180,1,180,M,351
410,2,410,C,603
190,1,190,M,412
430,1,430,M,363
290,2,290,C,613
230,1,230,M,377
350,2,350,C,474
50,1,50,M,418
410,1,410,M,424
320,2,320,C,407
400,1,400,M,404
110,2,110,C,414
440,2,440,C,404
210,1,210,M,359
470,2,470,C,553
370,2,370,C,409
350,1,350,M,345
180,2,180,C,400
260,1,260,M,448
50,2,50,C,427
480,1,480,M,423
170,2,170,C,388
140,2,140,C,416
150,1,150,M,364
460,2,460,C,417
190,2,190,C,440
460,1,460,M,398
360,2,360,C,451
130,2,130,C,422
80,2,80,C,459
260,2,260,C,415
60,1,60,M,514
110,1,110,M,365
340,1,340,M,322
160,2,160,C,412
330,2,330,C,428
80,1,80,M,368
170,1,170,M,376
500,2,500,C,505
370,1,370,M,382
120,2,120,C,493
240,2,240,C,419
60,2,60,C,774
100,1,100,M,364
250,1,250,M,365
500,1,500,M,406
440,1,440,M,375
220,2,220,C,365
90,2,90,C,445
340,2,340,C,430
90,1,90,M,406
