Gap,Tone,Key,RT
290,2,290,M,633
140,1,140,M,644
410,2,410,C,668
500,1,500,M,651
350,1,350,M,759
80,2,80,C,688
400,1,400,M,694
230,2,230,C,691
120,2,120,M,719
100,1,100,M,590
300,2,300,C,635
170,2,170,M,634
310,2,310,C,1
360,1,360,M,676
260,1,260,C,623
290,1,290,M,742
320,1,320,C,688
130,2,130,C,694
490,2,490,M,597
120,1,120,M,614
480,2,480,C,658
170,1,170,C,611
60,2,60,C,689
310,1,310,M,618
400,2,400,C,724
190,2,190,C,752
190,1,190,M,637
450,2,450,C,738
60,1,60,M,760
180,1,180,M,725
70,1,70,M,713
300,1,300,M,625
340,1,340,M,617
460,2,460,C,691
440,2,440,M,632
380,1,380,M,578
430,2,430,M,594
320,2,320,C,682
140,2,140,M,620
110,1,110,M,634
380,2,380,C,745
240,2,240,C,696
50,1,50,M,662
130,1,130,M,756
440,1,440,M,675
150,1,150,M,726
500,2,500,C,710
470,2,470,M,661
100,2,100,C,704
220,1,220,C,743
390,1,390,C,709
220,2,220,C,653
430,1,430,M,628
420,2,420,C,741
370,1,370,M,678
160,1,160,C,724
70,2,70,C,727
280,1,280,M,629
80,1,80,M,675
450,1,450,M,749
270,1,270,M,879
330,1,330,C,751
270,2,270,C,652
230,1,230,M,635
330,2,330,C,763
390,2,390,C,761
200,1,200,M,1545
490,1,490,M,860
110,2,110,C,672
240,1,240,M,716
160,2,160,C,687
340,2,340,C,623
180,2,180,C,749
50,2,50,C,645
90,1,90,M,674
410,1,410,M,589
420,1,420,M,638
370,2,370,C,762
360,2,360,C,866
470,1,470,C,747
210,2,210,C,632
480,1,480,M,629
460,1,460,M,668
250,1,250,M,698
150,2,150,M,576
90,2,90,C,695
350,2,350,C,728
260,2,260,C,746
210,1,210,C,605
280,2,280,C,705
250,2,250,C,731
200,2,200,C,713
