Gap,Tone,tGap,Key,RT
490,2,490,C,905
340,1,340,M,855
180,2,180,C,932
70,2,70,C,654
390,2,390,C,754
500,2,500,M,606
460,2,460,C,750
50,2,50,C,614
270,1,270,M,583
140,2,140,M,642
390,1,390,M,644
310,1,310,M,606
180,1,180,M,604
190,2,190,M,565
490,1,490,M,620
230,2,230,M,580
190,1,190,M,633
280,2,280,C,693
240,1,240,M,606
200,2,200,C,709
210,2,210,M,606
300,1,300,M,615
80,2,80,M,742
170,1,170,M,653
70,1,70,C,739
330,1,330,M,688
130,2,130,M,694
420,1,420,M,2
290,2,290,C,690
100,2,100,C,777
60,2,60,C,603
130,1,130,M,623
160,1,160,M,688
360,1,360,M,723
350,1,350,M,613
310,2,310,M,620
300,2,300,C,726
140,1,140,M,686
460,1,460,M,717
60,1,60,M,610
400,1,400,M,650
220,1,220,M,622
350,2,350,C,720
120,1,120,M,727
370,1,370,M,670
430,1,430,M,660
480,2,480,C,678
290,1,290,M,732
320,2,320,M,593
400,2,400,C,722
410,1,410,M,784
210,1,210,M,794
450,1,450,M,745
100,1,100,M,737
230,1,230,M,685
250,2,250,C,674
500,1,500,M,631
340,2,340,C,710
430,2,430,C,760
50,1,50,M,678
360,2,360,C,758
150,2,150,C,722
440,1,440,M,627
280,1,280,M,760
380,1,380,M,824
380,2,380,C,712
110,1,110,M,647
470,2,470,C,720
480,1,480,M,754
370,2,370,C,722
320,1,320,M,675
160,2,160,M,717
90,1,90,M,642
270,2,270,M,686
450,2,450,C,697
470,1,470,M,647
220,2,220,C,665
80,1,80,M,727
260,2,260,C,645
260,1,260,M,628
420,2,420,C,598
150,1,150,M,688
120,2,120,C,730
200,1,200,M,626
410,2,410,C,686
440,2,440,C,759
90,2,90,M,615
240,2,240,C,766
170,2,170,C,682
330,2,330,M,646
250,1,250,M,664
110,2,110,C,664
