,,,,
Gap,Tone,tGap,Key,RT
320,2,320,C,228
270,2,270,M,290
350,2,350,C,807
320,1,320,M,788
180,1,180,M,847
70,2,70,C,888
290,1,290,M,623
380,1,380,M,687
230,1,230,M,667
460,2,460,C,663
300,1,300,M,691
250,1,250,M,643
50,1,50,M,982
200,1,200,M,637
310,2,310,M,693
500,1,500,M,699
230,2,230,C,793
60,1,60,M,389
70,1,70,M,674
390,2,390,M,679
460,1,460,M,784
170,2,170,C,835
100,2,100,C,879
180,2,180,C,873
160,2,160,M,601
450,2,450,C,681
330,2,330,C,817
370,1,370,M,766
220,1,220,M,380
240,1,240,M,788
170,1,170,M,754
90,1,90,M,681
240,2,240,M,695
360,2,360,C,778
210,1,210,M,868
60,2,60,C,803
220,2,220,C,708
130,1,130,M,760
340,2,340,C,763
490,2,490,C,745
470,2,470,C,746
360,1,360,M,677
150,1,150,M,830
300,2,300,C,657
340,1,340,M,777
190,1,190,M,771
100,1,100,M,807
440,1,440,M,877
370,2,370,M,2
80,2,80,C,742
290,2,290,C,712
110,1,110,C,738
430,2,430,C,725
310,1,310,M,759
120,2,120,C,695
130,2,130,C,800
440,2,440,C,837
250,2,250,M,612
380,2,380,C,956
260,2,260,C,782
140,2,140,C,810
420,1,420,M,680
280,1,280,M,637
470,1,470,C,702
140,1,140,M,837
490,1,490,M,749
200,2,200,C,757
400,2,400,C,710
480,1,480,M,830
410,2,410,C,748
330,1,330,M,869
160,1,160,M,894
430,1,430,M,676
410,1,410,M,687
500,2,500,C,834
50,2,50,C,866
280,2,280,C,893
90,2,90,C,838
260,1,260,M,907
350,1,350,M,998
110,2,110,C,969
420,2,420,M,905
270,1,270,M,808
480,2,480,C,1109
150,2,150,C,859
400,1,400,M,627
210,2,210,C,703
190,2,190,C,744
120,1,120,M,810
450,1,450,M,792
390,1,390,M,727
80,1,80,M,826
