Gap,Tone,tGap,Key,RT
160,2,160,C,409
490,2,490,C,1458
390,2,390,C,495
480,1,480,M,479
310,1,310,M,1043
60,2,60,C,552
70,2,70,C,508
490,1,490,M,459
370,2,370,C,654
90,2,90,C,537
220,1,220,M,464
450,2,450,C,582
60,1,60,M,556
420,2,420,C,437
290,1,290,M,387
470,2,470,C,534
280,2,280,C,629
260,2,260,C,458
480,2,480,C,522
220,2,220,C,653
280,1,280,M,431
320,2,320,C,485
80,2,80,C,472
190,1,190,M,584
210,1,210,M,667
200,1,200,M,684
170,2,170,C,489
130,1,130,M,487
230,1,230,M,610
140,2,140,C,490
80,1,80,M,433
170,1,170,M,411
140,1,140,M,375
130,2,130,C,369
420,1,420,C,367
300,2,300,M,510
310,2,310,C,443
340,1,340,M,390
320,1,320,M,517
450,1,450,M,382
240,1,240,M,358
270,2,270,C,611
350,1,350,M,525
340,2,340,C,635
460,2,460,C,487
110,1,110,M,456
200,2,200,C,389
100,1,100,M,361
120,2,120,M,368
250,1,250,M,399
240,2,240,C,663
50,1,50,M,440
210,2,210,C,422
430,2,430,C,429
330,1,330,M,526
470,1,470,M,596
440,2,440,C,440
500,1,500,M,478
70,1,70,M,502
440,1,440,M,352
120,1,120,M,360
90,1,90,M,407
460,1,460,M,463
300,1,300,M,432
230,2,230,M,406
180,2,180,C,345
250,2,250,C,500
370,1,370,M,536
290,2,290,C,480
430,1,430,M,1046
150,2,150,C,550
330,2,330,C,344
360,1,360,M,869
190,2,190,C,477
410,2,410,C,418
400,1,400,M,456
500,2,500,C,498
270,1,270,M,534
50,2,50,C,520
100,2,100,C,522
390,1,390,M,420
110,2,110,C,466
160,1,160,M,414
180,1,180,M,673
380,2,380,C,556
380,1,380,M,533
260,1,260,M,416
410,1,410,M,528
350,2,350,C,461
360,2,360,C,611
400,2,400,C,448
150,1,150,M,437
