Gap,Tone,tGap,Key,RT
330,2,330,C,827
310,1,310,M,1424
130,2,130,C,944
240,2,240,C,1156
80,2,80,C,1434
360,1,360,M,1043
130,1,130,M,1262
280,1,280,M,1714
190,2,190,C,836
450,1,450,M,1650
370,2,370,C,1033
70,1,70,M,1730
230,1,230,C,1787
70,2,70,C,991
120,2,120,C,1511
180,1,180,M,891
300,2,300,C,949
340,1,340,M,900
340,2,340,C,1584
420,1,420,M,1234
460,1,460,M,1010
60,2,60,C,986
290,2,290,C,1472
390,2,390,C,1015
400,2,400,C,1236
80,1,80,M,909
120,1,120,M,1071
260,1,260,M,1179
300,1,300,M,1103
490,1,490,M,1120
140,2,140,C,692
350,1,350,C,1064
380,2,380,C,1286
50,1,50,M,959
470,2,470,C,647
480,1,480,M,1300
170,2,170,C,730
420,2,420,C,833
280,2,280,C,869
200,2,200,C,838
100,1,100,M,1095
250,1,250,M,841
460,2,460,C,714
240,1,240,M,1103
90,2,90,C,683
360,2,360,C,781
320,1,320,M,712
310,2,310,C,889
160,2,160,C,1596
110,2,110,C,916
260,2,260,C,1196
330,1,330,M,1904
430,2,430,C,1419
150,2,150,C,771
150,1,150,M,717
220,2,220,C,1478
100,2,100,C,690
60,1,60,M,656
270,1,270,M,1179
380,1,380,M,875
170,1,170,M,762
400,1,400,M,672
320,2,320,C,1453
440,2,440,C,771
50,2,50,C,857
160,1,160,M,728
200,1,200,M,948
230,2,230,C,678
500,2,500,C,877
480,2,480,M,694
440,1,440,M,782
180,2,180,C,865
210,2,210,C,664
370,1,370,M,1047
490,2,490,M,747
500,1,500,M,1807
140,1,140,M,866
390,1,390,M,1790
270,2,270,C,874
110,1,110,M,1224
410,2,410,C,1187
450,2,450,C,652
350,2,350,C,624
220,1,220,M,852
410,1,410,M,2380
430,1,430,M,744
290,1,290,M,785
90,1,90,M,1100
470,1,470,M,648
210,1,210,M,1418
190,1,190,M,958
250,2,250,M,1029
