Gap,Tone,tGap,Key,RT
220,1,220,M,924
450,1,450,C,2307
300,1,300,M,1089
250,1,250,M,897
120,1,120,C,1086
190,1,190,M,838
450,2,450,C,1442
340,1,340,M,991
80,2,80,C,2228
500,1,500,M,1002
460,1,460,C,1442
200,2,200,M,1473
440,1,440,M,929
210,1,210,C,1489
270,1,270,M,946
410,2,410,C,1325
150,1,150,M,1194
290,2,290,C,1125
470,2,470,C,920
90,2,90,M,1723
100,1,100,C,1245
500,2,500,M,1114
80,1,80,M,1017
390,1,390,C,1006
490,1,490,M,876
290,1,290,C,1368
190,2,190,M,943
440,2,440,M,3097
360,1,360,M,1082
470,1,470,M,1464
140,1,140,C,2736
370,2,370,C,1138
330,2,330,C,1418
130,2,130,M,1300
420,2,420,C,11915
320,1,320,M,1581
140,2,140,M,2469
480,2,480,C,944
310,1,310,C,3724
60,2,60,M,1075
430,1,430,M,841
370,1,370,M,2579
300,2,300,C,2056
200,1,200,M,1229
90,1,90,M,996
100,2,100,C,2912
410,1,410,M,959
120,2,120,C,1270
250,2,250,C,1304
60,1,60,M,911
400,2,400,C,1386
150,2,150,C,1711
260,1,260,M,920
480,1,480,M,1161
110,1,110,C,3361
330,1,330,M,1001
310,2,310,C,845
320,2,320,C,1162
350,2,350,M,1026
70,1,70,M,1000
460,2,460,M,948
260,2,260,M,1449
160,2,160,C,861
240,2,240,C,803
170,2,170,M,1095
70,2,70,M,1048
230,2,230,C,1000
210,2,210,M,892
180,1,180,M,889
240,1,240,M,1154
420,1,420,M,40473
230,1,230,M,805
280,1,280,M,875
380,1,380,C,922
130,1,130,C,984
110,2,110,M,1120
490,2,490,M,1112
360,2,360,C,1231
400,1,400,C,1049
340,2,340,M,1139
430,2,430,M,970
50,2,50,M,1217
390,2,390,C,839
50,1,50,M,1070
350,1,350,C,823
270,2,270,C,850
380,2,380,C,866
220,2,220,M,948
280,2,280,C,856
170,1,170,M,1006
180,2,180,C,818
160,1,160,M,1454
