Gap,Tone,tGap,Key,RT
460,1,460,M,685
460,2,460,C,571
50,1,50,M,548
400,1,400,M,502
490,2,490,C,578
380,2,380,M,584
470,2,470,C,455
350,1,350,M,481
250,1,250,M,723
60,2,60,C,638
330,2,330,M,517
160,2,160,M,480
270,2,270,M,693
490,1,490,M,559
310,2,310,M,391
180,2,180,C,814
160,1,160,M,687
420,2,420,C,597
170,2,170,C,700
360,1,360,M,700
100,1,100,M,524
260,2,260,C,683
410,2,410,C,503
270,1,270,M,716
60,1,60,M,789
280,1,280,C,774
370,1,370,M,628
310,1,310,M,1082
240,2,240,C,677
320,2,320,C,716
410,1,410,M,664
200,1,200,M,491
140,2,140,C,878
440,2,440,C,463
400,2,400,C,482
90,2,90,C,890
70,2,70,C,649
120,2,120,C,605
230,1,230,M,496
130,1,130,M,614
440,1,440,M,528
430,2,430,C,614
390,1,390,M,366
190,2,190,C,685
340,1,340,M,573
150,1,150,M,630
290,2,290,M,533
220,2,220,C,589
150,2,150,M,440
450,2,450,C,927
80,2,80,M,634
130,2,130,C,738
480,2,480,C,475
100,2,100,C,808
300,1,300,M,480
340,2,340,C,496
500,1,500,C,443
190,1,190,M,475
240,1,240,M,437
360,2,360,C,640
290,1,290,M,693
120,1,120,M,561
450,1,450,M,588
50,2,50,C,701
170,1,170,M,704
300,2,300,C,779
180,1,180,M,507
280,2,280,C,537
210,1,210,M,364
250,2,250,C,607
500,2,500,C,518
70,1,70,M,709
390,2,390,C,445
200,2,200,M,1109
350,2,350,C,629
110,2,110,M,921
230,2,230,M,1319
110,1,110,M,736
210,2,210,M,730
470,1,470,M,668
260,1,260,M,539
370,2,370,C,870
380,1,380,M,455
320,1,320,M,625
330,1,330,M,710
90,1,90,M,574
480,1,480,M,496
80,1,80,M,693
140,1,140,M,558
420,1,420,M,580
430,1,430,M,546
220,1,220,M,509
