Gap,Tone,tGap,Key,RT
290,2,290,C,527
490,1,490,M,406
410,2,410,C,440
80,1,80,M,612
350,1,350,M,538
220,1,220,M,495
450,2,450,C,373
160,1,160,M,375
120,2,120,C,467
340,1,340,M,717
110,1,110,M,721
240,1,240,M,769
130,1,130,M,610
150,2,150,C,674
330,2,330,M,799
400,1,400,M,529
380,2,380,C,1157
400,2,400,C,519
70,1,70,M,528
250,1,250,C,471
370,1,370,C,687
260,1,260,C,548
170,2,170,C,597
300,2,300,C,633
210,1,210,M,448
50,1,50,M,530
80,2,80,C,654
310,2,310,C,416
210,2,210,C,389
420,2,420,C,448
370,2,370,C,416
100,2,100,C,429
290,1,290,M,398
70,2,70,C,443
500,1,500,M,522
360,1,360,M,541
480,2,480,C,563
380,1,380,M,636
270,1,270,M,582
430,1,430,M,564
460,2,460,C,411
160,2,160,C,376
140,2,140,C,443
300,1,300,M,495
470,1,470,M,625
310,1,310,M,550
230,1,230,M,596
140,1,140,M,549
440,1,440,M,715
440,2,440,C,406
110,2,110,C,472
360,2,360,C,472
90,2,90,C,415
150,1,150,M,527
320,2,320,C,470
420,1,420,M,554
280,1,280,M,418
450,1,450,M,418
390,2,390,C,365
270,2,270,C,374
170,1,170,M,467
460,1,460,C,341
430,2,430,C,673
190,1,190,C,449
220,2,220,M,2
330,1,330,M,371
410,1,410,M,446
390,1,390,M,556
120,1,120,M,790
490,2,490,C,706
60,1,60,M,485
240,2,240,C,520
340,2,340,C,508
470,2,470,C,442
480,1,480,M,425
500,2,500,C,565
90,1,90,M,382
50,2,50,C,576
200,2,200,C,404
250,2,250,C,450
230,2,230,C,929
200,1,200,M,509
280,2,280,C,484
190,2,190,C,535
320,1,320,M,444
60,2,60,C,734
350,2,350,C,519
180,2,180,C,520
180,1,180,M,415
260,2,260,C,517
130,2,130,C,460
100,1,100,M,479
