Gap,Tone,tGap,Key,RT
180,2,180,C,693
110,1,110,M,643
240,2,240,M,955
190,1,190,M,778
390,2,390,C,565
290,1,290,M,1012
500,2,500,C,646
460,1,460,M,586
210,2,210,C,573
420,2,420,C,744
220,2,220,C,729
410,2,410,M,624
440,2,440,C,693
130,1,130,M,743
170,1,170,M,621
380,1,380,M,536
70,2,70,C,666
80,1,80,M,815
260,2,260,M,875
460,2,460,C,577
480,2,480,C,1088
470,2,470,C,691
230,1,230,M,771
70,1,70,C,584
100,1,100,M,721
320,2,320,C,753
60,2,60,C,785
160,2,160,C,823
300,2,300,C,990
190,2,190,C,635
430,2,430,C,697
90,1,90,M,686
140,2,140,C,547
130,2,130,C,1092
440,1,440,M,566
50,1,50,M,835
420,1,420,M,835
150,1,150,M,760
210,1,210,M,762
490,1,490,M,1386
250,1,250,M,804
50,2,50,C,640
180,1,180,M,653
330,1,330,M,684
200,1,200,M,639
280,2,280,C,645
310,1,310,M,836
140,1,140,C,518
340,2,340,C,668
120,2,120,C,771
380,2,380,C,555
270,1,270,C,559
360,1,360,M,807
270,2,270,M,541
280,1,280,M,845
220,1,220,M,741
250,2,250,C,688
330,2,330,C,824
100,2,100,C,696
360,2,360,C,799
120,1,120,M,958
480,1,480,M,849
430,1,430,M,1365
290,2,290,C,406
240,1,240,M,615
400,2,400,C,735
310,2,310,C,685
170,2,170,C,693
350,1,350,C,590
110,2,110,C,765
340,1,340,M,937
300,1,300,M,792
370,2,370,C,516
90,2,90,C,548
500,1,500,M,551
60,1,60,C,538
450,2,450,C,768
200,2,200,C,736
320,1,320,C,769
230,2,230,C,814
160,1,160,M,776
150,2,150,C,575
80,2,80,C,687
260,1,260,C,590
470,1,470,M,861
390,1,390,M,642
350,2,350,C,627
370,1,370,M,956
450,1,450,M,1009
400,1,400,M,982
410,1,410,C,1074
490,2,490,C,647
