Gap,Tone,tGap,Key,RT
70,2,70,C,621
310,1,310,M,518
360,2,360,C,916
360,1,360,M,401
140,2,140,C,447
460,1,460,M,906
420,2,420,C,625
170,2,170,M,1090
470,1,470,M,597
150,1,150,M,783
390,2,390,C,543
500,2,500,C,620
470,2,470,C,522
440,1,440,M,859
150,2,150,C,546
430,2,430,C,625
90,1,90,M,482
200,2,200,C,562
320,2,320,C,482
300,2,300,C,490
90,2,90,C,553
60,2,60,C,505
490,2,490,C,564
230,2,230,C,509
400,1,400,M,468
180,1,180,M,563
250,2,250,C,499
330,1,330,M,438
350,1,350,M,476
240,1,240,M,459
210,1,210,M,464
270,1,270,M,452
380,2,380,C,434
340,2,340,C,446
50,1,50,M,525
430,1,430,M,414
110,1,110,M,469
410,1,410,M,516
490,1,490,M,544
80,2,80,C,529
340,1,340,M,411
100,1,100,M,411
250,1,250,M,416
400,2,400,C,451
60,1,60,M,442
330,2,330,M,423
290,1,290,M,460
70,1,70,M,479
190,1,190,M,463
260,2,260,C,558
320,1,320,M,485
180,2,180,C,485
480,2,480,C,430
170,1,170,M,445
380,1,380,M,448
280,2,280,C,531
480,1,480,M,686
210,2,210,C,457
160,1,160,M,437
80,1,80,M,421
260,1,260,M,430
100,2,100,C,543
140,1,140,M,371
390,1,390,M,352
410,2,410,C,503
120,2,120,C,572
300,1,300,M,376
240,2,240,C,401
130,2,130,C,519
130,1,130,M,389
500,1,500,M,428
280,1,280,M,451
350,2,350,C,415
190,2,190,C,416
220,1,220,M,433
450,1,450,M,509
120,1,120,M,488
450,2,450,C,487
230,1,230,M,443
370,1,370,M,515
440,2,440,C,565
290,2,290,C,518
460,2,460,C,537
200,1,200,M,497
370,2,370,C,452
110,2,110,C,551
50,2,50,C,647
420,1,420,M,523
220,2,220,C,523
310,2,310,C,429
270,2,270,C,547
160,2,160,C,446
