Gap,Tone,tGap,Key,RT
460,2,460,C,611
330,1,330,C,734
450,2,450,C,636
340,1,340,C,752
410,1,410,C,866
170,2,170,C,1774
450,1,450,C,1015
100,1,100,C,3087
110,2,110,C,1678
500,1,500,M,2577
460,1,460,M,891
470,2,470,M,947
400,1,400,M,582
400,2,400,C,863
420,2,420,M,904
90,2,90,C,695
370,2,370,C,570
250,1,250,M,549
360,2,360,C,585
280,1,280,M,537
320,1,320,M,720
100,2,100,C,649
300,2,300,M,1387
380,1,380,M,684
330,2,330,C,653
500,2,500,C,764
270,2,270,C,662
190,1,190,M,629
140,2,140,C,652
270,1,270,M,665
440,2,440,C,759
180,2,180,M,614
190,2,190,C,754
180,1,180,M,592
310,2,310,C,663
300,1,300,M,561
50,1,50,M,605
420,1,420,M,1230
380,2,380,C,576
490,2,490,C,567
50,2,50,M,636
430,1,430,M,873
350,1,350,M,565
240,1,240,M,550
70,2,70,C,647
440,1,440,M,652
350,2,350,C,619
120,2,120,C,636
200,2,200,M,527
260,1,260,M,638
370,1,370,M,581
480,1,480,M,555
60,2,60,C,684
230,1,230,M,576
70,1,70,M,629
110,1,110,M,514
220,2,220,C,576
320,2,320,C,610
290,2,290,C,749
230,2,230,C,1060
310,1,310,M,525
280,2,280,C,591
430,2,430,C,443
160,2,160,C,659
390,2,390,C,452
130,2,130,C,752
340,2,340,C,483
60,1,60,C,508
220,1,220,M,593
160,1,160,M,556
80,1,80,M,541
390,1,390,M,592
200,1,200,M,562
470,1,470,M,741
250,2,250,C,1399
360,1,360,M,746
150,1,150,M,595
170,1,170,M,633
120,1,120,M,534
80,2,80,C,669
490,1,490,M,690
130,1,130,M,728
210,2,210,C,1255
210,1,210,M,566
260,2,260,C,598
410,2,410,C,1290
90,1,90,M,689
480,2,480,C,626
140,1,140,M,692
240,2,240,C,776
150,2,150,M,712
290,1,290,M,561
