Gap,InAveRT,InAveRT_Z
50.0,465.90103293013743,-0.8147333122074765
60.0,467.6331957826996,-0.7800139349679052
70.0,469.7412122593187,-0.7377609682963766
80.0,471.4117537203533,-0.7042767268497863
90.0,484.8045745085272,-0.4358317613208354
100.0,494.184127658804,-0.247828512272183
110.0,498.202272377663,-0.16728903984850158
120.0,503.72442963386993,-0.0566032225935662
130.0,489.70217392660584,-0.3376645471278651
140.0,464.89036419583084,-0.8349911009013782
150.0,448.47542606045647,-1.1640112208302185
160.0,428.6487520360961,-1.561415987847106
170.0,416.0234222329883,-1.814477406154117
180.0,412.4688446646496,-1.8857251640308776
200.0,421.4965684836237,-1.7047739628075071
210.0,435.30467151651095,-1.4280051027360938
220.0,483.42342019413985,-0.4635155426675749
230.0,523.5604818192631,0.3409895197688442
240.0,547.3503513717718,0.8178323606437572
250.0,561.5839659067931,1.1031301499324877
260.0,564.5600798044323,1.1627832137118126
270.0,559.337501666572,1.0581021438786276
280.0,557.4336073688545,1.0199405909686643
300.0,575.5873238694861,1.383812689110797
310.0,584.4269985956697,1.560994644629299
320.0,585.5164455543701,1.582831459733417
330.0,583.9158041555363,1.5507482913008517
340.0,574.5203411677321,1.3624261463411618
350.0,564.0249082378193,1.1520562641749108
360.0,560.7230501153189,1.0858740010135313
370.0,552.8331648510081,0.9277295733903731
380.0,526.3244345146803,0.39639003604395834
390.0,504.5703442500713,-0.03964775640924109
400.0,481.4655395725369,-0.502759194493343
410.0,466.80497405950337,-0.7966147657749646
420.0,468.7136724449274,-0.7583569199944281
430.0,475.08905067789135,-0.6305691882648089
440.0,485.06417163788944,-0.4306284106940131
450.0,494.6573751104134,-0.23834276630101883
460.0,503.29360056199675,-0.06523873688716367
470.0,510.87383245212106,0.08669901548257672
480.0,525.0816470695466,0.37147967263766873
490.0,540.1542226139592,0.6735935503970997
500.0,554.6258436588048,0.9636619291184819
