Gap,Tone,tGap,Key,RT
130,2,130,C,660
390,1,390,M,969
170,1,170,C,1907
380,1,380,C,524
360,1,360,M,571
100,1,100,C,668
300,2,300,C,825
430,2,430,M,663
110,2,110,C,697
270,2,270,C,1438
120,2,120,C,1092
80,2,80,C,1155
110,1,110,M,703
210,2,210,M,537
440,1,440,M,1055
60,2,60,C,889
280,1,280,M,405
340,2,340,C,732
270,1,270,M,463
100,2,100,C,596
190,1,190,M,806
170,2,170,C,749
210,1,210,M,463
50,1,50,C,600
500,2,500,M,6
260,1,260,M,1566
480,1,480,M,1092
290,2,290,M,699
330,2,330,C,688
120,1,120,M,623
230,2,230,C,650
440,2,440,M,535
350,2,350,C,463
480,2,480,M,482
310,2,310,C,528
370,1,370,M,7
450,1,450,M,508
290,1,290,M,1122
410,2,410,C,649
80,1,80,M,1097
350,1,350,M,623
360,2,360,C,801
230,1,230,M,500
190,2,190,M,935
220,1,220,C,741
330,1,330,M,993
90,2,90,M,1187
320,2,320,M,653
490,2,490,C,1293
220,2,220,M,1282
380,2,380,C,935
90,1,90,M,722
250,2,250,M,1265
370,2,370,C,641
420,2,420,M,644
140,1,140,C,867
500,1,500,C,1118
410,1,410,M,805
300,1,300,C,716
200,1,200,M,1182
490,1,490,M,564
250,1,250,M,910
430,1,430,M,534
260,2,260,C,949
420,1,420,M,4
470,2,470,M,1117
140,2,140,C,941
150,2,150,M,783
180,1,180,M,1080
400,2,400,M,809
200,2,200,M,1242
470,1,470,M,633
280,2,280,C,790
130,1,130,M,615
340,1,340,C,406
60,1,60,M,614
460,2,460,M,562
390,2,390,M,834
70,2,70,C,680
450,2,450,M,5
240,1,240,M,450
400,1,400,M,401
240,2,240,M,528
70,1,70,M,716
160,2,160,C,843
320,1,320,M,721
150,1,150,C,758
160,1,160,M,985
180,2,180,C,359
50,2,50,M,838
460,1,460,M,532
310,1,310,M,1539
