Gap,Tone,tGap,Key,RT
370,2,370,M,4524
100,2,100,C,941
360,1,360,M,815
500,2,500,C,974
280,2,280,M,896
90,2,90,C,877
280,1,280,M,606
130,2,130,C,704
420,1,420,M,646
300,1,300,M,741
450,2,450,M,1136
140,2,140,M,1085
160,2,160,M,1682
120,2,120,C,631
440,1,440,M,458
450,1,450,M,847
60,1,60,C,588
190,2,190,C,625
380,1,380,M,452
170,2,170,C,657
70,2,70,C,932
180,2,180,C,790
220,1,220,M,512
250,2,250,C,460
170,1,170,M,734
390,2,390,C,652
230,2,230,M,525
50,2,50,C,665
310,1,310,M,647
130,1,130,C,573
460,1,460,M,649
390,1,390,M,820
350,2,350,C,869
400,2,400,C,888
490,2,490,C,844
380,2,380,C,737
150,1,150,M,632
430,1,430,C,730
290,1,290,C,787
350,1,350,M,979
190,1,190,M,786
140,1,140,M,912
260,1,260,M,998
490,1,490,M,903
240,1,240,M,787
180,1,180,M,762
410,1,410,M,798
460,2,460,C,739
330,1,330,M,710
160,1,160,C,805
310,2,310,C,742
80,2,80,C,832
440,2,440,C,692
50,1,50,M,885
290,2,290,C,644
100,1,100,M,731
210,1,210,M,2131
410,2,410,C,732
210,2,210,C,853
420,2,420,C,1003
90,1,90,M,816
260,2,260,C,652
470,1,470,M,778
230,1,230,M,919
430,2,430,C,700
480,1,480,M,1389
480,2,480,C,821
500,1,500,M,780
60,2,60,C,697
80,1,80,M,748
330,2,330,C,658
320,2,320,C,1053
120,1,120,M,532
360,2,360,C,602
250,1,250,M,790
150,2,150,C,648
200,2,200,C,746
220,2,220,C,659
320,1,320,M,1717
240,2,240,C,556
70,1,70,M,575
110,2,110,C,534
300,2,300,C,760
340,2,340,C,753
110,1,110,M,600
270,1,270,C,482
270,2,270,C,605
400,1,400,M,491
200,1,200,M,860
370,1,370,M,649
470,2,470,C,661
340,1,340,M,571
