Gap,Tone,tGap,Key,RT
460,1,460,M,524
400,1,400,C,322
270,1,270,M,853
440,1,440,M,550
290,1,290,M,485
390,2,390,C,653
190,1,190,M,456
470,1,470,M,619
130,1,130,M,802
220,1,220,M,948
80,2,80,C,599
280,1,280,M,499
400,2,400,C,839
70,1,70,M,532
90,2,90,C,558
410,1,410,M,535
60,1,60,M,813
170,2,170,C,855
450,2,450,C,766
330,2,330,C,738
340,2,340,M,560
460,2,460,C,788
70,2,70,C,811
140,2,140,C,863
60,2,60,C,843
140,1,140,M,660
340,1,340,M,664
360,1,360,C,713
310,1,310,M,621
260,2,260,C,554
150,1,150,M,766
110,2,110,C,440
490,1,490,M,617
380,2,380,C,470
480,1,480,M,573
220,2,220,C,460
330,1,330,M,597
130,2,130,C,681
390,1,390,M,523
430,1,430,M,1617
120,2,120,C,652
360,2,360,M,468
100,1,100,M,879
180,2,180,C,479
350,2,350,C,559
160,1,160,M,654
420,2,420,C,728
500,2,500,M,409
310,2,310,C,749
320,2,320,C,606
420,1,420,M,902
430,2,430,C,816
240,1,240,M,613
240,2,240,C,461
290,2,290,M,507
450,1,450,M,634
200,1,200,C,606
370,2,370,C,720
300,1,300,M,631
350,1,350,M,1169
200,2,200,C,791
490,2,490,M,554
180,1,0,0,0
190,2,0,0,0
90,1,0,0,0
50,1,0,0,0
470,2,0,0,0
50,2,0,0,0
500,1,0,0,0
260,1,0,0,0
410,2,0,0,0
250,2,0,0,0
160,2,0,0,0
370,1,0,0,0
170,1,0,0,0
230,2,0,0,0
320,1,0,0,0
480,2,0,0,0
270,2,0,0,0
150,2,0,0,0
380,1,0,0,0
210,1,0,0,0
110,1,0,0,0
280,2,0,0,0
120,1,0,0,0
210,2,0,0,0
230,1,0,0,0
100,2,0,0,0
440,2,0,0,0
300,2,0,0,0
250,1,0,0,0
80,1,0,0,0
